dummy;dummy;measured;a1_paper;a2_paper;b1_paper;b2_paper
y1987;MEA;0.1;0.1;0.1;0.1;0.1
y1987;NAM;0.29;0.29;0.29;0.29;0.29
y1987;PAO;0.23;0.23;0.23;0.23;0.23
y1987;PAS;0.08;0.08;0.08;0.08;0.08
y1987;SAS;0.07;0.07;0.07;0.07;0.07
y1988;AFR;0.08;0.08;0.08;0.08;0.08
y1988;CPA;0.11;0.11;0.11;0.11;0.11
y1988;EUR;0.29;0.29;0.29;0.29;0.29
y1988;FSU;0.27;0.27;0.27;0.27;0.27
y1988;LAM;0.17;0.17;0.17;0.17;0.17
y1988;MEA;0.1;0.1;0.1;0.1;0.1
y1988;NAM;0.29;0.29;0.29;0.29;0.29
y1988;PAO;0.23;0.23;0.23;0.23;0.23
y1988;PAS;0.08;0.08;0.08;0.08;0.08
y1988;SAS;0.07;0.07;0.07;0.07;0.07
y1989;AFR;0.08;0.08;0.08;0.08;0.08
y1989;CPA;0.12;0.12;0.12;0.12;0.12
y1989;EUR;0.29;0.29;0.29;0.29;0.29
y1989;FSU;0.28;0.28;0.28;0.28;0.28
y1989;LAM;0.17;0.17;0.17;0.17;0.17
y1989;MEA;0.1;0.1;0.1;0.1;0.1
y1989;NAM;0.29;0.29;0.29;0.29;0.29
y1989;PAO;0.23;0.23;0.23;0.23;0.23
y1989;PAS;0.08;0.08;0.08;0.08;0.08
y1989;SAS;0.07;0.07;0.07;0.07;0.07
y1990;AFR;0.08;0.08;0.08;0.08;0.08
y1990;CPA;0.12;0.12;0.12;0.12;0.12
y1990;EUR;0.29;0.29;0.29;0.29;0.29
y1990;FSU;0.28;0.28;0.28;0.28;0.28
y1990;LAM;0.17;0.17;0.17;0.17;0.17
y1990;MEA;0.09;0.09;0.09;0.09;0.09
y1990;NAM;0.28;0.28;0.28;0.28;0.28
y1990;PAO;0.23;0.23;0.23;0.23;0.23
y1990;PAS;0.09;0.09;0.09;0.09;0.09
y1990;SAS;0.07;0.07;0.07;0.07;0.07
y1991;AFR;0.07;0.08;0.08;0.08;0.08
y1991;CPA;0.13;0.12;0.12;0.12;0.13
y1991;EUR;0.29;0.29;0.29;0.29;0.29
y1991;FSU;0.27;0.27;0.27;0.27;0.27
y1991;LAM;0.18;0.17;0.17;0.17;0.17
y1991;MEA;0.09;0.1;0.1;0.09;0.1
y1991;NAM;0.28;0.28;0.28;0.28;0.28
y1991;PAO;0.23;0.23;0.23;0.23;0.23
y1991;PAS;0.09;0.09;0.09;0.09;0.09
y1991;SAS;0.07;0.08;0.08;0.08;0.07
y1992;AFR;0.07;0.08;0.08;0.08;0.08
y1992;CPA;0.14;0.13;0.12;0.13;0.13
y1992;EUR;0.29;0.29;0.29;0.28;0.29
y1992;FSU;0.24;0.27;0.27;0.25;0.27
y1992;LAM;0.18;0.17;0.18;0.17;0.18
y1992;MEA;0.09;0.1;0.1;0.09;0.1
y1992;NAM;0.28;0.28;0.28;0.28;0.28
y1992;PAO;0.23;0.23;0.23;0.23;0.23
y1992;PAS;0.1;0.09;0.09;0.09;0.09
y1992;SAS;0.07;0.08;0.08;0.08;0.07
y1993;AFR;0.07;0.08;0.08;0.07;0.08
y1993;CPA;0.15;0.13;0.12;0.14;0.14
y1993;EUR;0.28;0.29;0.28;0.28;0.29
y1993;FSU;0.23;0.27;0.26;0.24;0.27
y1993;LAM;0.18;0.18;0.18;0.17;0.18
y1993;MEA;0.09;0.1;0.1;0.09;0.1
y1993;NAM;0.28;0.28;0.28;0.28;0.28
y1993;PAO;0.23;0.23;0.24;0.23;0.23
y1993;PAS;0.1;0.09;0.09;0.1;0.1
y1993;SAS;0.08;0.08;0.08;0.08;0.07
y1994;AFR;0.07;0.08;0.08;0.07;0.08
y1994;CPA;0.16;0.13;0.13;0.14;0.14
y1994;EUR;0.28;0.29;0.28;0.28;0.28
y1994;FSU;0.24;0.26;0.26;0.23;0.26
y1994;LAM;0.18;0.18;0.18;0.17;0.18
y1994;MEA;0.09;0.1;0.1;0.09;0.1
y1994;NAM;0.28;0.28;0.28;0.28;0.28
y1994;PAO;0.23;0.24;0.24;0.23;0.23
y1994;PAS;0.1;0.09;0.09;0.1;0.1
y1994;SAS;0.08;0.08;0.08;0.08;0.07
y1995;AFR;0.07;0.08;0.08;0.07;0.08
y1995;CPA;0.16;0.13;0.13;0.14;0.15
y1995;EUR;0.28;0.28;0.28;0.28;0.28
y1995;FSU;0.23;0.26;0.25;0.21;0.26
y1995;LAM;0.19;0.18;0.18;0.17;0.18
y1995;MEA;0.09;0.1;0.1;0.09;0.1
y1995;NAM;0.28;0.29;0.28;0.28;0.28
y1995;PAO;0.23;0.24;0.24;0.23;0.23
y1995;PAS;0.1;0.1;0.1;0.1;0.1
y1995;SAS;0.08;0.08;0.08;0.08;0.07
y1996;AFR;0.07;0.08;0.08;0.07;0.08
y1996;CPA;0.16;0.14;0.13;0.15;0.15
y1996;EUR;0.28;0.28;0.28;0.28;0.28
y1996;FSU;0.22;0.25;0.25;0.21;0.25
y1996;LAM;0.19;0.18;0.18;0.18;0.18
y1996;MEA;0.09;0.1;0.1;0.09;0.1
y1996;NAM;0.27;0.29;0.28;0.28;0.27
y1996;PAO;0.23;0.24;0.24;0.23;0.23
y1996;PAS;0.1;0.1;0.1;0.1;0.11
y1996;SAS;0.08;0.08;0.08;0.08;0.08
y1997;AFR;0.07;0.08;0.08;0.07;0.08
y1997;CPA;0.17;0.14;0.13;0.15;0.16
y1997;EUR;0.28;0.28;0.28;0.28;0.28
y1997;FSU;0.22;0.25;0.25;0.21;0.25
y1997;LAM;0.19;0.18;0.18;0.18;0.18
y1997;MEA;0.09;0.1;0.1;0.1;0.1
y1997;NAM;0.27;0.29;0.28;0.27;0.27
y1997;PAO;0.22;0.24;0.24;0.23;0.23
y1997;PAS;0.1;0.1;0.1;0.11;0.11
y1997;SAS;0.08;0.08;0.08;0.08;0.08
y1998;AFR;0.07;0.08;0.08;0.08;0.08
y1998;CPA;0.18;0.14;0.13;0.15;0.17
y1998;EUR;0.28;0.28;0.28;0.28;0.28
y1998;FSU;0.22;0.25;0.25;0.21;0.25
y1998;LAM;0.2;0.18;0.18;0.18;0.18
y1998;MEA;0.1;0.1;0.1;0.1;0.1
y1998;NAM;0.27;0.29;0.28;0.27;0.27
y1998;PAO;0.22;0.24;0.24;0.23;0.23
y1998;PAS;0.09;0.1;0.1;0.11;0.12
y1998;SAS;0.08;0.08;0.08;0.08;0.08
y1999;AFR;0.07;0.08;0.08;0.08;0.08
y1999;CPA;0.19;0.15;0.14;0.15;0.17
y1999;EUR;0.28;0.28;0.28;0.28;0.28
y1999;FSU;0.22;0.24;0.25;0.21;0.25
y1999;LAM;0.2;0.18;0.18;0.19;0.19
y1999;MEA;0.1;0.1;0.1;0.1;0.1
y1999;NAM;0.28;0.29;0.28;0.27;0.27
y1999;PAO;0.22;0.24;0.24;0.23;0.23
y1999;PAS;0.1;0.1;0.1;0.11;0.12
y1999;SAS;0.08;0.08;0.08;0.08;0.08
y2000;AFR;0.07;0.08;0.08;0.08;0.08
y2000;CPA;0.19;0.15;0.14;0.15;0.18
y2000;EUR;0.28;0.28;0.28;0.28;0.28
y2000;FSU;0.21;0.24;0.25;0.21;0.24
y2000;LAM;0.2;0.18;0.18;0.19;0.19
y2000;MEA;0.1;0.1;0.1;0.1;0.1
y2000;NAM;0.27;0.29;0.28;0.27;0.27
y2000;PAO;0.23;0.24;0.24;0.23;0.23
y2000;PAS;0.1;0.1;0.1;0.11;0.12
y2000;SAS;0.08;0.08;0.08;0.09;0.08
y2001;AFR;0.07;0.08;0.08;0.08;0.08
y2001;CPA;0.19;0.16;0.14;0.15;0.19
y2001;EUR;0.27;0.28;0.28;0.28;0.28
y2001;FSU;0.21;0.25;0.25;0.21;0.24
y2001;LAM;0.2;0.18;0.18;0.19;0.19
y2001;MEA;0.1;0.1;0.1;0.1;0.1
y2001;NAM;0.27;0.29;0.28;0.27;0.26
y2001;PAO;0.23;0.24;0.24;0.23;0.23
y2001;PAS;0.1;0.11;0.1;0.12;0.12
y2001;SAS;0.09;0.09;0.08;0.09;0.08
y2002;AFR;0.07;0.09;0.08;0.08;0.08
y2002;CPA;0.19;0.16;0.14;0.16;0.2
y2002;EUR;0.28;0.28;0.28;0.28;0.28
